,base_market,quote_market,hedge_ratio,half_life
0,AAVE-USD,CRV-USD,81.48557503085803,4.0
1,AAVE-USD,FIL-USD,15.94706344913685,4.0
2,AAVE-USD,DOT-USD,13.298375927508046,4.0
3,ZEC-USD,ETH-USD,0.028601173789258888,3.0
4,ZEC-USD,SOL-USD,1.9009757479775673,3.0
5,ZEC-USD,BTC-USD,0.002000862987774601,2.0
6,ZEC-USD,LINK-USD,6.524731660638547,3.0
7,ALGO-USD,UNI-USD,0.03701070286913023,2.0
8,ALGO-USD,ETC-USD,0.01119815182824205,4.0
9,ETH-USD,UMA-USD,782.8375339840903,2.0
10,ETH-USD,1INCH-USD,2999.9133325158914,3.0
11,ETH-USD,ENJ-USD,3635.2375101531547,3.0
12,ETH-USD,SNX-USD,642.5559973694877,4.0
13,ETH-USD,FIL-USD,298.4704127904692,3.0
14,ETH-USD,CELO-USD,2136.136740059821,3.0
15,ETH-USD,ATOM-USD,117.562966066762,4.0
16,ETH-USD,XTZ-USD,1452.4958548737266,2.0
17,ETH-USD,YFI-USD,0.21346359352946845,2.0
18,ETH-USD,TRX-USD,25766.41734889394,1.0
19,ETH-USD,ZRX-USD,6865.685774180748,4.0
20,ETH-USD,MKR-USD,2.3743125082642327,2.0
21,ETH-USD,UNI-USD,238.72179008821718,1.0
22,ETH-USD,ETC-USD,72.2293669191039,2.0
23,ETH-USD,LTC-USD,17.327847821531982,4.0
24,SOL-USD,LINK-USD,3.431990944502771,3.0
25,ADA-USD,UNI-USD,0.056867034604650576,2.0
26,CRV-USD,BTC-USD,4.5795343784359525e-05,2.0
27,CRV-USD,LINK-USD,0.14932417995134975,4.0
28,CRV-USD,DOT-USD,0.16314240177351313,3.0
29,CRV-USD,UNI-USD,0.15642216234245673,2.0
30,CRV-USD,ETC-USD,0.04732826842134712,4.0
31,CRV-USD,RUNE-USD,0.5841195305213946,1.0
32,FIL-USD,BTC-USD,0.00023400778259083076,2.0
33,FIL-USD,LINK-USD,0.7631108987427462,3.0
34,FIL-USD,UNI-USD,0.7990573141200271,3.0
35,FIL-USD,RUNE-USD,2.98507246478809,1.0
36,BTC-USD,LINK-USD,3258.5024851427775,1.0
37,LINK-USD,COMP-USD,0.1340864219698254,2.0
38,LINK-USD,YFI-USD,0.0009361972895097715,4.0
39,LINK-USD,ICP-USD,1.2224188666687232,3.0
40,LINK-USD,DOT-USD,1.091420725811687,4.0
41,LINK-USD,TRX-USD,112.99274716804298,4.0
42,LINK-USD,NEAR-USD,2.87890136500202,4.0
43,LINK-USD,EOS-USD,6.544789555488435,2.0
44,LINK-USD,UNI-USD,1.0467045428380206,3.0
45,LINK-USD,XLM-USD,76.9702587805685,3.0
46,LINK-USD,RUNE-USD,3.910427570634503,1.0
47,COMP-USD,RUNE-USD,29.157323638866597,1.0
48,YFI-USD,DOT-USD,1165.8991913565012,3.0
49,ICP-USD,DOT-USD,0.8924276589855858,4.0
50,DOT-USD,DOGE-USD,72.00419043679985,4.0
51,DOT-USD,TRX-USD,103.00238164608233,4.0
52,DOT-USD,NEAR-USD,2.62327310234766,4.0
53,DOT-USD,EOS-USD,5.964855632552823,4.0
54,DOT-USD,ZRX-USD,27.46728941165306,3.0
55,DOT-USD,MKR-USD,0.009491139396440376,4.0
56,DOT-USD,UNI-USD,0.9547535815503507,4.0
57,DOT-USD,ETC-USD,0.2887582829062892,3.0
58,DOT-USD,LTC-USD,0.06929566483850186,4.0
59,DOT-USD,BCH-USD,0.04805179107128589,4.0
60,DOT-USD,XLM-USD,70.14044877732385,4.0
61,DOT-USD,RUNE-USD,3.561830884712851,2.0
62,TRX-USD,UNI-USD,0.009262272884327984,3.0
63,EOS-USD,UNI-USD,0.15990414368281447,4.0
64,EOS-USD,RUNE-USD,0.5972980920199666,1.0
65,UNI-USD,ETC-USD,0.3024827278536094,1.0
